district,wmoid
Ahmadnagar,43025
Ambikapur,43237
North Lakhimpur,43271
Chandigarh(iafb),43241
Guna,43189
Jabalpur,43177
Hazaribagh,43128
Ratlam,43086
Jhansi,43137
Daman,43182
Tezpur,43185
Allahabad,43181
Nandigama,43213
Poona,43083
Dohad,43133
Kallakkurichchi,43245
Fort Cochin,43081
Sagar,43105
Umaria,43149
Hissar,43087
Sidhi,42220
Nagpur,42619
Bangalore,74924
Vallabh,42620
Gondia,42415
Medak,42419
Hardoi,42409
Karaikudi,42404
Nagappattinam,42407
Nellore,42406
Malda,42410
Bikaner,74924
Agra,42309
Cuddalore,42314
Cuttack,74925
Dholpur,42316
Gorakhpur,74925
Deesa,42523
Kurnool,42414
Gaya,42423
Port Blair,42311
Kanpur,42420
Pamban,42498
Bareilly,42383
Kanniyakumari,42382
Bhawanipatna,42391
Barmer,42591
Cuddapah,42699
Thiruvananthapuram,42387
Uluberia,42587
Alwar,42492
Bidar,42395
Dhubri,42500
Ratnagiri,42700
Patna,42701
Balehonur,42588
M.o.Amini,42599
Najibabad,42795
Jaisalmer,42799
Jhalawar,42647
Baroda,42834
Kohima,42539
Vishakhapatnam,42747
Kota-in-rajasthan,42838
Ramgundam,42731
Burdwan,42734
Gulbarga,42909
Pusad,42830
Anupgarh,42744
Vidisha,42631
Amritsar,42634
Nowgong,42751
Manali,42737
Kolar,42840
Minicoy,42740
Dehradun,42105
Bilaspur,42103
Aijal,42131
Srinagar,42137
Nautanwa,42080
Nalgonda,42062
Jalgaon,42065
Maya,42078
Sandheads,42107
Madurai,42083
Arogyavaram,42027
Satna,43541
Koraput,42055
Chaibasa,42056
Bombay/santacruz,43542
Siliguri,43295
Gopalpur,43296
Shillong,43198
Berhampore,43197
Cannur,43205
Fatehpur,43125
Sheopur,43161
Kodaikanal,43259
Vellore,43233
Surendranagar,43201
Erinpura/jawai,43121
Jamshedpur,43225
Dhar,43226
Begumpet,43229
Sultanpur,43283
Yeotmal,43284
Kalingapatam,43299
Imphal,43289
Ludhiana,43291
Baramati,43169
Rentachintala,43315
Pachmarhi,43351
Sholapur,43314
Goalpara,43316
Karwar,43371
Motihari,43372
Coimbatore/peelamed,43041
Karnal,42953
Jammu,42860
Forbesganj,42669
Nainital,42779
Nasik,42783
Pasighat,42467
Akola,42752
Bahraich,42559
Mangalore,42361
Shimla,42767
Jaipur/sanganer,42763
Nimach,42754
Kolhapur,42675
Agartala,42547
Tiruttani,42456
Churu,42855
Pendra,42672
Darbhanga,42884
Joshimath,42875
Parbhani,42661
Chandrapur,42671
Malegaon,42571
Bagati,42667
Varanasi/babatpur,42771
Purnea,42679
Bijapur,42577
Jamnagar,42693
Sonamarg,43009
Tangla,42933
Mainpuri,42934
Lumding,42937
Mahabalipuram,43013
Betul,43014
Bellary,42871
Vengurla,43011
Bhaunagar,43003
Raipur,42931
Machilipatnam,43029
Darjeeling,42851
Hoshangabad,43157
Buldana,42866
New Delhi,42867
Jharsuguda,42925
Chandbali,42920
Dharchula,43017
Dharmsala,43063
Tura,43069
Nilambur,43061
Jodhpur,43193
Balasore,43110
Seoni,43153
Sikar,43109
Harnai,43158
Belgaum/sambra,43111
Jagdalpur,43117
Raichur,43019
Adilabad,42943
Veraval,42623
Phalodi,42511
Khammam,42516
Krishnanagar,42515
Madras/minambakkam,42727
Dumdooma,42527
Raigarh,42895
Ahmadabad,42973
Pet Jorhat,42961
Silchar,42970
Moradabad,42969
Gwalior,43049
Dharmpur,43042
Puri,43097
Champa,43053
Gadag,42971
Khandwa,42883
Dumka,42886
Kanker,42096
Bhagalpur,42099
Titlagarh,42101
Udaipur,42343
Kakinada,42255
Kondul,42435
Ajmer,42354
Jalna,42165
Amreli,42170
Ferozepur,42122
Gohpur,42123
Varanasi,42348
Mandya,42328
Pbo Ananntpur,42555
Chitradurga,42237
